epoch,loss,epoch_seconds,global_step,learning_rate
1,0.2705690299510956,4.490863936021924,79,0.0002
2,0.09384218145608902,2.492362312041223,158,0.0002
3,0.07745802364349365,2.5005885045975447,237,0.0002
4,0.06941703000068665,3.4199793497100472,316,0.0002
5,0.06319188778400421,3.438131838105619,395,0.0002
6,0.05965779659748077,3.408817248418927,474,0.0002
7,0.05651237812638283,3.3621614016592503,553,0.0002
8,0.05378652595281601,3.270672312937677,632,0.0002
9,0.051027313435077666,3.4784113252535462,711,0.0002
10,0.050253645718097685,3.4348542038351297,790,0.0002
11,0.04899302316308021,3.22833601385355,869,0.0002
12,0.048737302029132845,3.3691555922850966,948,0.0002
13,0.046398790884017944,3.4657320929691195,1027,0.0002
14,0.04466888218522072,2.6138841724023223,1106,0.0002
15,0.04474367825984955,3.483687110245228,1185,0.0002
16,0.04316768605709076,3.4293747786432505,1264,0.0002
17,0.043698715901374814,3.3641797127202153,1343,0.0002
18,0.0424633229136467,3.509750021621585,1422,0.0002
19,0.041452819085121155,2.397727590985596,1501,0.0002
20,0.040691468900442125,2.776597324758768,1580,0.0002
