epoch,loss,epoch_seconds,global_step,learning_rate
1,0.321783983874321,4.454244879074395,79,0.0002
2,0.1270789027094841,3.3514144252985716,158,0.0002
3,0.10424095053672791,3.3497250732034445,237,0.0002
4,0.0932124385356903,3.0922789964824915,316,0.0002
5,0.08822427848577499,3.468528136610985,395,0.0002
6,0.08389585757255555,3.457045436836779,474,0.0002
7,0.08123005669116974,3.336535389535129,553,0.0002
8,0.07701947088241577,3.356540011242032,632,0.0002
9,0.07290452196002006,3.341498560272157,711,0.0002
10,0.07134957540035247,3.331727028824389,790,0.0002
11,0.06953719116449356,3.3375043151900172,869,0.0002
12,0.06858600735664368,3.442759863100946,948,0.0002
13,0.06555456664562226,3.043986838310957,1027,0.0002
14,0.0641318439245224,3.38800688367337,1106,0.0002
15,0.06319744414091111,3.3792581614106894,1185,0.0002
16,0.061855274486541746,3.109035304747522,1264,0.0002
17,0.06078500040769577,3.3229439221322536,1343,0.0002
18,0.059818090307712554,3.321601141244173,1422,0.0002
19,0.059696167862415314,3.217114055529237,1501,0.0002
20,0.05744533108472824,3.368880057707429,1580,0.0002
