epoch,loss,epoch_seconds,global_step,learning_rate
1,0.2705690299510956,4.077414688654244,79,0.0002
2,0.09384218145608902,3.340390962548554,158,0.0002
3,0.07745802364349365,3.1950048683211207,237,0.0002
4,0.06941703000068665,2.817550224252045,316,0.0002
5,0.06319188778400421,3.433966093696654,395,0.0002
6,0.05965779659748077,3.3426202945411205,474,0.0002
7,0.05651237812638283,3.1356873717159033,553,0.0002
8,0.05378652595281601,3.1996584804728627,632,0.0002
9,0.051027313435077666,3.375138020142913,711,0.0002
10,0.050253645718097685,3.2305723698809743,790,0.0002
11,0.04899302316308021,3.128016835078597,869,0.0002
12,0.048737302029132845,3.2797764725983143,948,0.0002
13,0.046398790884017944,3.132554467767477,1027,0.0002
14,0.04466888218522072,3.18419623747468,1106,0.0002
15,0.04474367825984955,3.147922420874238,1185,0.0002
16,0.04316768605709076,3.2836595298722386,1264,0.0002
17,0.043698715901374814,3.2243470288813114,1343,0.0002
18,0.0424633229136467,3.2361710630357265,1422,0.0002
19,0.041452819085121155,3.241477420553565,1501,0.0002
20,0.040691468900442125,3.421017267741263,1580,0.0002
